0,1,2,3,4,5,6,7,8,9,10,11,12,13,winner,turn,move_number
21,0,0,0,0,5,5,10,1,1,2,0,0,3,player_2,player_2,28
7,3,10,0,0,1,3,4,2,3,9,0,2,4,player_1,player_2,17
15,2,0,2,0,1,2,15,1,0,3,2,3,2,player_2,player_1,21
0,4,4,4,4,4,4,0,4,4,4,4,4,4,tie,player_1,0
12,0,0,8,0,2,9,2,1,2,2,2,8,0,player_1,player_2,10
1,0,6,6,5,1,0,2,1,7,6,6,6,1,player_2,player_2,5
11,7,1,2,1,2,2,13,0,9,0,0,0,0,player_2,player_1,10
8,7,7,1,0,4,0,8,3,1,2,4,2,1,player_1,player_2,22
3,7,1,0,7,1,1,5,8,1,7,5,1,1,player_2,player_2,8
3,1,3,4,1,0,12,5,2,0,2,7,0,8,player_1,player_1,14
4,8,2,0,8,0,11,3,0,0,0,3,8,1,player_2,player_1,12
1,5,0,0,6,2,7,2,0,7,5,1,6,6,player_2,player_1,6
1,5,0,2,0,7,7,2,1,6,0,6,6,5,player_2,player_2,6
12,0,4,7,0,2,0,11,1,1,1,5,4,0,player_2,player_2,38
13,2,10,2,0,1,2,7,1,1,3,1,0,5,player_2,player_1,25
11,0,0,0,2,1,1,24,0,0,5,0,3,1,player_1,player_2,38
0,4,0,5,5,5,5,0,4,4,4,4,4,4,player_1,player_2,1
13,1,0,0,5,0,7,10,1,4,0,0,1,6,player_2,player_2,32
12,5,0,0,4,2,1,7,4,3,9,0,1,0,player_1,player_2,17
10,0,2,1,0,11,2,6,3,1,0,10,0,2,player_1,player_1,19
7,0,9,1,2,0,4,4,1,0,2,5,1,12,player_2,player_1,16
9,1,1,6,0,2,12,7,0,1,2,0,2,5,player_2,player_2,20
7,10,0,6,0,2,1,7,6,0,1,0,3,5,player_1,player_1,25
10,0,4,7,0,0,2,13,5,0,0,1,5,1,player_2,player_2,31
0,0,5,5,5,5,4,0,4,4,4,4,4,4,player_1,player_2,1
3,0,2,8,7,0,0,2,0,9,1,0,9,7,tie,player_2,12
9,5,7,0,1,1,1,16,0,0,5,0,1,2,player_1,player_2,19
24,0,1,1,0,0,1,20,0,0,0,0,0,1,player_2,player_2,45
6,0,4,1,0,11,8,3,1,0,7,7,0,0,player_1,player_1,13
4,2,4,2,4,3,1,5,4,3,1,4,0,11,player_1,player_1,12
4,2,8,0,1,1,7,10,7,1,1,0,4,2,player_1,player_2,11
1,5,1,5,5,5,5,0,4,4,4,4,0,5,player_1,player_1,2
10,1,0,6,1,0,1,16,2,1,1,3,0,6,player_2,player_2,21
4,7,7,0,1,6,2,3,7,0,0,1,2,8,player_2,player_1,7
0,4,4,4,4,4,4,0,4,4,4,4,4,4,player_2,player_1,0
4,2,0,0,0,1,2,17,3,0,10,9,0,0,player_1,player_1,21
9,1,2,0,4,3,13,7,2,1,0,0,1,5,player_1,player_1,16
4,2,3,8,1,9,8,1,1,0,2,0,8,1,player_2,player_1,9
1,5,4,0,5,5,1,2,5,5,5,0,5,5,player_1,player_1,3
3,6,1,1,7,7,6,1,5,4,0,1,6,0,player_1,player_1,5
7,1,2,0,5,0,0,10,1,0,10,2,10,0,player_1,player_2,20
11,1,1,0,1,4,3,14,4,0,5,1,2,1,player_1,player_2,23
12,3,1,1,0,0,4,9,0,3,0,5,0,10,player_1,player_1,19
10,0,2,0,5,1,1,10,1,0,7,8,3,0,player_1,player_1,32
3,1,0,2,5,10,9,3,6,1,6,0,2,0,tie,player_1,11
3,0,3,2,3,8,8,3,7,6,4,0,0,1,player_1,player_2,7
9,1,10,0,1,0,0,7,10,0,10,0,0,0,player_2,player_1,15
5,9,0,2,0,1,2,14,1,0,1,3,0,10,player_2,player_2,13
0,0,5,5,5,5,4,0,4,4,4,4,4,4,player_2,player_2,1
18,3,2,0,0,3,2,12,2,0,1,2,3,0,player_2,player_2,31
18,0,3,1,0,5,1,17,0,1,0,0,2,0,player_2,player_2,38
0,4,0,5,5,5,5,0,0,5,5,5,5,4,player_1,player_1,2
10,1,0,3,1,4,9,8,0,4,2,5,1,0,player_2,player_2,21
8,0,0,0,0,1,1,21,4,1,11,0,0,1,player_2,player_1,28
2,6,5,5,0,0,6,2,6,5,0,5,5,1,player_1,player_1,4
13,0,3,0,1,2,0,13,1,1,0,3,11,0,player_2,player_2,22
1,5,4,4,4,0,5,1,5,5,4,0,5,5,player_1,player_1,2
1,4,4,4,4,0,5,1,0,6,1,6,6,6,player_2,player_1,3
4,7,7,5,0,0,7,3,0,6,5,0,2,2,player_2,player_1,8
22,0,2,1,1,2,2,17,0,0,1,0,0,0,tie,player_2,49
8,0,2,1,3,1,5,17,0,0,0,3,8,0,player_1,player_2,30
13,0,2,2,5,0,0,13,3,2,0,2,4,2,player_2,player_2,40
2,1,8,2,7,0,6,9,0,0,0,6,6,1,player_1,player_1,7
4,4,7,1,0,9,0,3,6,1,1,1,1,10,player_1,player_2,12
10,0,4,4,0,0,0,22,1,2,0,3,2,0,player_1,player_2,18
15,0,2,0,0,1,2,24,0,1,0,2,0,1,player_1,player_2,33
8,1,3,3,3,1,1,9,4,1,1,10,1,2,player_1,player_1,27
2,1,1,3,0,4,9,4,2,7,7,6,2,0,player_2,player_2,8
7,1,0,3,3,0,3,21,2,0,4,2,2,0,player_1,player_1,26
7,1,4,3,2,2,4,5,1,0,1,6,6,6,player_2,player_1,15
13,10,0,0,0,0,10,6,0,0,0,9,0,0,player_2,player_1,21
11,0,0,0,0,0,2,18,2,1,2,3,4,5,player_2,player_2,38
3,0,1,5,1,1,0,9,3,0,10,9,0,6,player_1,player_1,19
7,2,1,4,0,3,0,20,0,1,0,1,3,6,player_1,player_2,31
11,1,2,3,6,2,0,15,0,0,0,7,0,1,player_1,player_1,38
6,0,8,2,3,5,4,5,1,10,0,3,0,1,player_2,player_1,17
4,0,2,9,8,0,1,5,2,7,7,0,0,3,player_1,player_2,14
16,0,1,7,5,0,0,16,0,0,1,2,0,0,player_2,player_2,33
13,0,1,0,0,2,0,24,0,7,0,0,0,1,player_1,player_2,37
1,5,1,0,6,6,6,1,5,4,4,4,0,5,player_2,player_2,3
11,2,2,1,3,0,1,13,1,6,3,1,1,3,player_1,player_2,35
3,3,0,0,3,10,7,2,1,3,2,8,3,3,player_2,player_2,11
18,0,0,1,0,2,2,19,2,1,2,0,1,0,tie,player_1,38
4,3,0,2,8,7,6,2,6,0,0,6,2,2,player_1,player_1,7
16,1,3,0,0,1,3,20,0,0,1,0,3,0,player_1,player_1,49
1,5,5,4,4,4,0,1,5,5,5,4,0,5,player_2,player_1,2
11,2,0,5,1,1,12,15,0,0,1,0,0,0,player_1,player_2,20
16,1,0,0,2,0,0,22,2,1,0,1,1,2,player_1,player_1,25
4,4,8,2,1,11,2,3,0,2,2,8,0,1,player_2,player_1,12
3,2,2,8,8,1,0,19,1,1,0,1,1,1,player_1,player_1,14
0,4,4,4,0,5,5,1,5,4,4,4,4,4,player_1,player_2,1
